,,,,,,,,,,,
Natalia Rodríguez,,,2,1,,,,,,,3
Natalia Lizana,,,,,3,,,,,,3
Naiara Kapstein,,,,,,,2,1,,,3
Milenka Pavez,,,,,,,,3,,,3
Michelle Acevedo,,,,,,,,,3,,3
Maura Ramírez,,,3,,,,,,,,3
Mariana Morales,,,,,,,1,1,1,,3
María Vidal,,,,3,,,,,,,3
María Silva,,,,,,,,,3,,3
María Rebolledo,,,,1,2,,,,,,3
María Paz Bogado,,,,,,,,,3,,3
María Alejandra Leal,,,,,,,,,3,,3
Loreto Castillo,,1,,2,,,,,,,3
Lorena Apablaza,,,2,1,,,,,,,3
Kena Romero,,,,,,,,3,,,3
Katalina Jiménez,,,,,,,,3,,,3
Karla Jara,3,,,,,,,,,,3
Jocelyn Contreras,,,,,3,,,,,,3
Jenefer Jesuino,,,,3,,,,,,,3
Javiera Blanco,,,,1,,,,1,1,,3
Iona Rothfeld,3,,,,,,,,,,3
Helaine De Grange,,,,,2,,1,,,,3
Gina Bravo,,1,,2,,,,,,,3
Geraldine Salazar,,,1,1,1,,,,,,3
Fresia Acevedo,,3,,,,,,,,,3
Francisca Mardones,1,,,,2,,,,,,3
Francisca Caniguan,,3,,,,,,,,,3
Francisca Bacho,,,,,,,2,1,,,3
Franchesca Carvajal,,,,1,,,,1,1,,3
Engerl Pastrián,,,,,3,,,,,,3
Damaris Morales,,,,2,1,,,,,,3
Dahiana Bogarin,,,,,,,,,3,,3
Cyntia Aguilar,,,,3,,,,,,,3
Consuelo Berrocal,,1,,,,,1,,1,,3
Catalina Figueroa,,,,,,,1,1,1,,3
Catalina Díaz,1,1,1,,,,,,,,3
Catalina Boye,,,,3,,,,,,,3
Carolina Urrutia,,3,,,,,,,,,3
Carla Romero,3,,,,,,,,,,3
Camila Montero,1,,2,0,,,,,,,3
Camila Carrera,1,2,,,,,,,,,3
Antonia Leyton,,1,2,,,,,,,,3
Angélica Gutiérrez,,,2,,1,,,,,,3
Anaís Figueroa,,,,,,,,,3,,3
